DATE,Housing Starts,Unemployment Rate,,,,
1/1/1959,1657,6,,,,
2/1/1959,1667,5.9,,,,
3/1/1959,1620,5.6,,,,
4/1/1959,1590,5.2,,,,
5/1/1959,1498,5.1,,,,
6/1/1959,1503,5,,,,
7/1/1959,1547,5.1,,,,
8/1/1959,1430,5.2,,,,
9/1/1959,1540,5.5,,,,
10/1/1959,1355,5.7,,,,
11/1/1959,1416,5.8,,,,
12/1/1959,1601,5.3,,,,
1/1/1960,1460,5.2,,,,
2/1/1960,1503,4.8,,,,
3/1/1960,1109,5.4,,,,
4/1/1960,1289,5.2,,,,
5/1/1960,1271,5.1,,,,
6/1/1960,1247,5.4,,,,
7/1/1960,1197,5.5,,,,
8/1/1960,1344,5.6,,,,
9/1/1960,1097,5.5,,,,
10/1/1960,1246,6.1,,,,
11/1/1960,1246,6.1,,,,
12/1/1960,1063,6.6,,,,
1/1/1961,1183,6.6,,,,
2/1/1961,1226,6.9,,,,
3/1/1961,1312,6.9,,,,
4/1/1961,1166,7,,,,
5/1/1961,1228,7.1,,,,
6/1/1961,1382,6.9,,,,
7/1/1961,1335,7,,,,
8/1/1961,1312,6.6,,,,
9/1/1961,1429,6.7,,,,
10/1/1961,1415,6.5,,,,
11/1/1961,1385,6.1,,,,
12/1/1961,1365,6,,,,
1/1/1962,1361,5.8,,,,
2/1/1962,1278,5.5,,,,
3/1/1962,1443,5.6,,,,
4/1/1962,1524,5.6,,,,
5/1/1962,1483,5.5,,,,
6/1/1962,1404,5.5,,,,
7/1/1962,1450,5.4,,,,
8/1/1962,1517,5.7,,,,
9/1/1962,1324,5.6,,,,
10/1/1962,1533,5.4,,,,
11/1/1962,1622,5.7,,,,
12/1/1962,1564,5.5,,,,
1/1/1963,1244,5.7,,,,
2/1/1963,1456,5.9,,,,
3/1/1963,1534,5.7,,,,
4/1/1963,1689,5.7,,,,
5/1/1963,1641,5.9,,,,
6/1/1963,1588,5.6,,,,
7/1/1963,1614,5.6,,,,
8/1/1963,1639,5.4,,,,
9/1/1963,1763,5.5,,,,
10/1/1963,1779,5.5,,,,
11/1/1963,1622,5.7,,,,
12/1/1963,1491,5.5,,,,
1/1/1964,1603,5.6,,,,
2/1/1964,1820,5.4,,,,
3/1/1964,1517,5.4,,,,
4/1/1964,1448,5.3,,,,
5/1/1964,1467,5.1,,,,
6/1/1964,1550,5.2,,,,
7/1/1964,1562,4.9,,,,
8/1/1964,1569,5,,,,
9/1/1964,1455,5.1,,,,
10/1/1964,1524,5.1,,,,
11/1/1964,1486,4.8,,,,
12/1/1964,1484,5,,,,
1/1/1965,1361,4.9,,,,
2/1/1965,1433,5.1,,,,
3/1/1965,1423,4.7,,,,
4/1/1965,1438,4.8,,,,
5/1/1965,1478,4.6,,,,
6/1/1965,1488,4.6,,,,
7/1/1965,1529,4.4,,,,
8/1/1965,1432,4.4,,,,
9/1/1965,1482,4.3,,,,
10/1/1965,1452,4.2,,,,
11/1/1965,1460,4.1,,,,
12/1/1965,1656,4,,,,
1/1/1966,1370,4,,,,
2/1/1966,1378,3.8,,,,
